fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,productVariant,currencyCode,itemQuantity,itemRevenue,transactionRevenue,transactionId,pageTitle,searchKeyword,pagePathLevel1,eCommerceAction_type,eCommerceAction_step,eCommerceAction_option
4.25E+17,Affiliates,249813,United Kingdom,not available in demo dataset,,,250,6,,20160902,1472822653,PAGE,,,1990000,,GGOEGOXQ016399,Badge Holder,Home/Office/,(not set),USD,,,,,Office,,/google+redesign/,0,1,
1.08E+18,Organic Search,85755,Australia,Sydney,,,568,6,,20170518,1495099541,PAGE,,,7990000,,GGOEYOLR080599,YouTube Notebook and Pen Set,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
3.76E+18,Organic Search,93714,Taiwan,not available in demo dataset,,,348,9,1,20170725,1500993381,PAGE,,,20990000,,GGOEGAAX0356,YouTube Men's Vintage Tank,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
1.91E+18,Organic Search,0,Canada,not available in demo dataset,,,57,6,,20160901,1472761560,PAGE,,,34990000,,GGOEGAAX0335,YouTube Men's Long Sleeve Pullover Badge Tee Heather,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's-T-Shirts,,/google+redesign/,0,1,
8.46E+17,Organic Search,9408,Germany,Frankfurt,,,10,4,,20160919,1474310757,PAGE,,,11990000,,GGOEGKWQ060910,Google Bib White,Home/Shop by Brand/Google/,(not set),USD,,,,,Google,,/google+redesign/,0,1,
8.68E+18,Organic Search,0,Canada,Toronto,,,,1,,20160926,1474930382,PAGE,,,9990000,,GGOEGBJC014399,Google Tote Bag,Home/Bags/,(not set),USD,,,,,Bags,,/google+redesign/,0,1,
1.94E+17,Organic Search,0,United States,not available in demo dataset,,,,1,,20160815,1471270240,PAGE,,,9990000,,GGOEGBJC014399,Google Tote Bag,Home/Limited Supply/Bags/,(not set),USD,,,,,Bags,,/google+redesign/,0,1,
4.66E+18,Direct,0,United States,not available in demo dataset,,,,1,,20160811,1470923156,PAGE,,,20990000,,GGOEGAAX0331,Google Long Sleeve Raglan Badge Henley Ocean Blue,Home/Apparel/,(not set),USD,,,,,Apparel,,/google+redesign/,0,1,
9.18E+17,Organic Search,0,Croatia,not available in demo dataset,,,,1,,20170312,1489343919,PAGE,,,7990000,,GGOEYDHJ019399,24 oz YouTube Sergeant Stripe Bottle,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
2.70E+18,Display,0,Canada,Toronto,,,,1,,20160814,1471165645,PAGE,,,2500000,,GGOEGCBQ016499,SPF-15 Slim & Slender Lip Balm,Home/Fun/,(not set),USD,,,,,Fun,,/google+redesign/,0,1,
2.07E+17,Referral,515460,United States,San Francisco,,,515,2,,20161130,1480544932,PAGE,,,18990000,,GGOEGAAX0734,Google Men's Short Sleeve Hero Tee Heather,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
1.35E+18,Referral,5991,United States,Chicago,,,6,2,,20170609,1497009862,PAGE,,,16990000,,GGOEGAAX0104,Google Men's 100% Cotton Short Sleeve Hero Tee White,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
3.97E+18,Direct,95317,United Kingdom,London,,,95,3,,20160905,1473072428,PAGE,,,1990000,,GGOEYFKQ020699,YouTube Custom Decals,Home/Office/,(not set),USD,,,,,Office,,/google+redesign/,0,1,
7.58E+17,Direct,273725,United States,Mountain View,,,274,3,,20160929,1475173109,PAGE,,,19990000,,GGOEGAAX0304,Google Women's 3/4 Sleeve Baseball Raglan Heather/Black,Home/Apparel/Women's/Women's-T-Shirts/,(not set),USD,,,,,Women's-T-Shirts,,/store.html,0,1,
7.02E+18,Direct,19034,United States,San Francisco,,,48,4,,20170507,1494225977,PAGE,,,24990000,,GGOEYHPA003610,YouTube Wool Heather Cap Heather/Black,Home/Apparel/,(not set),USD,,,,,Apparel | Google Merchandise Store,,/google+redesign/,0,1,
4.42E+18,Direct,0,Cambodia,not available in demo dataset,,,,1,,20170509,1494347088,PAGE,,,13990000,,GGOEGBCR024399,Google Lunch Bag,Home/Accessories/,(not set),USD,,,,,Accessories | Google Merchandise Store,,/google+redesign/,0,1,
1.56E+18,Organic Search,0,United States,not available in demo dataset,,,,1,,20170402,1491143520,PAGE,,,24990000,,GGOEYHPA003610,YouTube Wool Heather Cap Heather/Black,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
3.25E+16,Organic Search,58674,United States,Houston,,,59,2,,20161214,1481748283,PAGE,,,94990000,,GGOEGAAX0588,Google Women's Shell Jacket Blue/Black,Home/Apparel/Women's/Women's-Outerwear/,(not set),USD,,,,,Women's Outerwear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
8.73E+18,Referral,64898,United States,Ann Arbor,,,65,3,,20170614,1497461944,PAGE,,,16790000,,GGOEGAAX0355,Google Men's Vintage Tank,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
2.17E+17,Referral,632473,Taiwan,(not set),,,632,3,1,20170707,1499417327,PAGE,,,4990000,,GGOEGBMJ013399,Sport Bag,(not set),(not set),USD,,,,,Store search results,,/asearch.html,0,1,
9.90E+18,Organic Search,19924,Canada,Toronto,,,20,2,,20170531,1496253357,PAGE,,,18990000,,GGOEGHPJ080110,Google 5-Panel Cap,Home/Apparel/,(not set),USD,,,,,Apparel | Google Merchandise Store,,/google+redesign/,0,1,
8.71E+18,Organic Search,39087,Belgium,not available in demo dataset,,,39,2,,20170211,1486851373,PAGE,,,16990000,,GGOEGAAX0317,YouTube Men's Short Sleeve Hero Tee White,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
6.38E+17,Referral,0,United States,not available in demo dataset,,,9,2,,20170615,1497593160,PAGE,,,249000000,,GGOENEBD084799,Nest® Learning Thermostat 3rd Gen-USA - Copper,Home/Nest/Nest-USA/,(not set),USD,,,,,Nest-USA,,/google+redesign/,0,1,
9.83E+18,Organic Search,0,United States,not available in demo dataset,,,,1,,20170511,1494523776,PAGE,,,29990000,,GGOEGAAX0352,Android Men's Vintage Henley,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
1.11E+17,Organic Search,592527,India,Gurgaon,,,619,5,,20161023,1477280090,PAGE,,,39990000,,GGOEGAAX0310,Google Heavyweight Long Sleeve Hero Tee Burgundy,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
8.79E+18,Direct,0,United States,not available in demo dataset,,,173,9,,20170526,1495828034,PAGE,,,3990000,,GGOEGOAA017099,Ballpoint Stick Pen 4 Pack,Home/Office/,(not set),USD,,,,,Office | Google Merchandise Store,,/google+redesign/,0,1,
9.20E+18,Organic Search,0,United Kingdom,not available in demo dataset,,,,1,,20170501,1493650381,PAGE,,,19990000,,GGOEYOCR077399,YouTube RFID Journal,Home/Shop by Brand/YouTube/,(not set),USD,,,,,YouTube | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
3.32E+18,Referral,11158,United States,Mountain View,,,11,2,,20170209,1486688033,PAGE,,,74990000,,GGOEGAAX0605,Google Women's Quilted Insulated Vest White,Home/Apparel/Women's/Women's-Outerwear/,(not set),USD,,,,,Women's Outerwear | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
7.96E+18,Referral,24628,Ukraine,not available in demo dataset,,,67,3,,20161129,1480462932,PAGE,,,51990000,,GGOEGAAX0362,Google Men's Pullover Hoodie Grey,Home/Shop by Brand/Google/,(not set),USD,,,,,Google | Shop by Brand | Google Merchandise Store,,/google+redesign/,0,1,
1.06E+18,Direct,122251,United States,not available in demo dataset,,,951,4,,20161017,1476720928,PAGE,,,39990000,,GGOEGAAX0310,Google Heavyweight Long Sleeve Hero Tee Burgundy,Home/Apparel/Men's/,(not set),USD,,,,,Men's Apparel | Google Merchandise Store,,/google+redesign/,0,1,
6.72E+18,Direct,22157,Brazil,Sao Paulo,,,22,3,,20161123,1479973253,PAGE,,,18990000,,GGOEGAAX0297,Google Women's Short Sleeve Hero Tee Red Heather,Home/Apparel/Women's/Women's-T-Shirts/,(not set),USD,,,,,Women's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,1,
9.79E+18,Organic Search,14823,United States,New York,,,55,7,,20160831,1472656152,PAGE,,,16990000,,GGOEGAAX0654,Google Toddler Short Sleeve T-shirt Yellow,Home/Apparel/,(not set),USD,,,,,Apparel,,/google+redesign/,0,1,
2.46E+18,Direct,0,United Kingdom,not available in demo dataset,,,,1,,20170303,1488555508,PAGE,,,99990000,,GGOEGBRJ037299,Google Alpine Style Backpack,Home/Bags/,(not set),USD,,,,,Bags | Google Merchandise Store,,/google+redesign/,0,1,
